Season,Player Name,Conference,Date,Team,Pos,Height,Weight,Age,PreDraftTeam,DraftYear,YOS
2008-2009,Chris Paul,West,3-Nov-08,New Orleans Hornets,PG,Jun-00,175,23,Wake Forest,2005,3
2007-2008,Kevin Garnett,East,13-Apr-08,Boston Celtics,PF,11-Jun,240,31,Farragut Career Academy (Illinois),1995,12
2007-2008,Allen Iverson,West,13-Apr-08,Denver Nuggets,G,Jun-00,165,32,Georgetown,1996,11
2007-2008,Joe Johnson,East,6-Apr-08,Atlanta Hawks,SG,7-Jun,240,26,Arkansas,2001,6
2007-2008,Kobe Bryant,West,6-Apr-08,Los Angeles Lakers,SG,6-Jun,212,29,Lower Merion High School (Pennsylvania),1996,11
2007-2008,Jason Richardson,East,30-Mar-08,Charlotte Bobcats,GF,6-Jun,225,27,Michigan State,2001,6
2007-2008,Carmelo Anthony,West,30-Mar-08,Denver Nuggets,F,8-Jun,240,23,Syracuse,2003,4
2007-2008,Kevin Garnett,East,23-Mar-08,Boston Celtics,PF,11-Jun,240,31,Farragut Career Academy (Illinois),1995,12
2007-2008,Chris Paul,West,23-Mar-08,New Orleans Hornets,PG,Jun-00,175,22,Wake Forest,2005,2
2007-2008,Antawn Jamison,East,16-Mar-08,Washington Wizards,F,9-Jun,235,31,North Carolina,1998,9
2007-2008,Amar'e Stoudemire,West,16-Mar-08,Phoenix Suns,FC,10-Jun,245,25,Cypress Creek High School (Florida),2002,5
2007-2008,Jason Richardson,East,9-Mar-08,Charlotte Bobcats,GF,6-Jun,225,27,Michigan State,2001,6
2007-2008,Tracy McGrady,West,9-Mar-08,Houston Rockets,GF,8-Jun,210,28,Mt. Zion Christian Academy (North Carolina),1997,10
2007-2008,Andre Miller,East,2-Mar-08,Philadelphia Sixers,PG,3-Jun,200,31,Utah,1999,8
2007-2008,Kobe Bryant,West,2-Mar-08,Los Angeles Lakers,SG,6-Jun,212,29,Lower Merion High School (Pennsylvania),1996,11
2007-2008,LeBron James,East,24-Feb-08,Cleveland Cavaliers,F,8-Jun,250,23,St. Vincent St. Mary High School (Ohio),2003,4
2007-2008,Manu Ginobili,West,24-Feb-08,San Antonio Spurs,SG,6-Jun,205,30,Viola Reggio Calabria (Italy),1999,5
2007-2008,Andre Miller,East,10-Feb-08,Philadelphia Sixers,PG,3-Jun,200,31,Utah,1999,8
2007-2008,Amar'e Stoudemire,West,10-Feb-08,Phoenix Suns,FC,10-Jun,245,25,Cypress Creek High School (Florida),2002,5
2007-2008,Hedo Turkoglu,East,3-Feb-08,Orlando Magic,F,10-Jun,220,28,Anadolu Efes (Turkey),2000,7
2007-2008,Brad Miller,West,3-Feb-08,Sacramento Kings,C,Jul-00,261,31,Purdue,1998,9
2007-2008,Hedo Turkoglu,East,27-Jan-08,Orlando Magic,F,10-Jun,220,28,Anadolu Efes (Turkey),2000,7
2007-2008,Al Jefferson,West,27-Jan-08,Minnesota Timberwolves,FC,10-Jun,289,23,Prentiss High School (Mississippi),2004,3
2007-2008,Gerald Wallace,East,20-Jan-08,Charlotte Bobcats,F,7-Jun,220,25,Alabama,2001,6
2007-2008,Baron Davis,West,20-Jan-08,Golden State Warriors,G,3-Jun,215,28,UCLA,1999,8
2007-2008,Chris Bosh,East,13-Jan-08,Toronto Raptors,PF,11-Jun,235,23,Georgia Tech,2003,4
2007-2008,Kobe Bryant,West,13-Jan-08,Los Angeles Lakers,SG,6-Jun,212,29,Lower Merion High School (Pennsylvania),1996,11
2007-2008,LeBron James,East,6-Jan-08,Cleveland Cavaliers,F,8-Jun,250,23,St. Vincent St. Mary High School (Ohio),2003,4
2007-2008,Allen Iverson,West,6-Jan-08,Denver Nuggets,G,Jun-00,165,32,Georgetown,1996,11
2007-2008,Paul Pierce,East,30-Dec-07,Boston Celtics,SF,7-Jun,235,30,Kansas,1998,9
2007-2008,Chris Paul,West,30-Dec-07,New Orleans Hornets,PG,Jun-00,175,22,Wake Forest,2005,2
2007-2008,Joe Johnson,East,23-Dec-07,Atlanta Hawks,SG,7-Jun,240,26,Arkansas,2001,6
2007-2008,Carmelo Anthony,West,23-Dec-07,Denver Nuggets,F,8-Jun,240,23,Syracuse,2003,4
2007-2008,Paul Pierce,East,16-Dec-07,Boston Celtics,SF,7-Jun,235,30,Kansas,1998,9
2007-2008,Brandon Roy,West,16-Dec-07,Portland Trail Blazers,G,6-Jun,211,23,Washington,2006,1
2007-2008,Josh Smith,East,9-Dec-07,Atlanta Hawks,PF,9-Jun,225,22,Oak Hill Academy (Virginia),2004,3
2007-2008,Brandon Roy,West,9-Dec-07,Portland Trail Blazers,G,6-Jun,211,23,Washington,2006,1
2007-2008,Dwight Howard,East,2-Dec-07,Orlando Magic,C,11-Jun,265,22,Southwest Atlanta Christian Academy (Georgia),2004,3
2007-2008,Stephen Jackson,West,2-Dec-07,Golden State Warriors,GF,8-Jun,220,29,Butler CC,1997,10
2007-2008,LeBron James,East,25-Nov-07,Cleveland Cavaliers,F,8-Jun,250,23,St. Vincent St. Mary High School (Ohio),2003,4
2007-2008,Tony Parker,West,25-Nov-07,San Antonio Spurs,G,2-Jun,185,25,Paris Basket Racing (France),2001,6
2007-2008,Dwight Howard,East,18-Nov-07,Orlando Magic,C,11-Jun,265,22,Southwest Atlanta Christian Academy (Georgia),2004,3
2007-2008,Allen Iverson,West,18-Nov-07,Denver Nuggets,G,Jun-00,165,32,Georgetown,1996,11
2007-2008,Kevin Garnett,East,11-Nov-07,Boston Celtics,PF,11-Jun,240,31,Farragut Career Academy (Illinois),1995,12
2007-2008,Yao Ming,West,11-Nov-07,Houston Rockets,C,6-Jul,310,27,Shanghai Dongfang (China),2002,5
2007-2008,Danny Granger,East,4-Nov-07,Indiana Pacers,GF,9-Jun,222,24,New Mexico,2005,2
2007-2008,Tracy McGrady,West,4-Nov-07,Houston Rockets,GF,8-Jun,210,28,Mt. Zion Christian Academy (North Carolina),1997,10
2006-2007,Ben Gordon,East,15-Apr-07,Chicago Bulls,SG,3-Jun,200,23,Connecticut,2004,2
2006-2007,Tracy McGrady,West,15-Apr-07,Houston Rockets,GF,8-Jun,210,27,Mt. Zion Christian Academy (North Carolina),1997,9
2006-2007,Gerald Wallace,East,8-Apr-07,Charlotte Bobcats,F,7-Jun,220,24,Alabama,2001,5
2006-2007,Tim Duncan,West,8-Apr-07,San Antonio Spurs,FC,11-Jun,250,30,Wake Forest,1997,9
2006-2007,Chris Bosh,East,1-Apr-07,Toronto Raptors,PF,11-Jun,235,22,Georgia Tech,2003,3
2006-2007,Yao Ming,West,1-Apr-07,Houston Rockets,C,6-Jul,310,26,Shanghai Dongfang (China),2002,4
2006-2007,Gerald Wallace,East,25-Mar-07,Charlotte Bobcats,F,7-Jun,220,24,Alabama,2001,5
2006-2007,Kobe Bryant,West,25-Mar-07,Los Angeles Lakers,SG,6-Jun,212,28,Lower Merion High School (Pennsylvania),1996,10
2006-2007,Jason Kidd,East,18-Mar-07,New Jersey Nets,PG,4-Jun,210,33,California,1994,12
2006-2007,Kobe Bryant,West,18-Mar-07,Los Angeles Lakers,SG,6-Jun,212,28,Lower Merion High School (Pennsylvania),1996,10
2006-2007,LeBron James,East,11-Mar-07,Cleveland Cavaliers,F,8-Jun,250,22,St. Vincent St. Mary High School (Ohio),2003,3
2006-2007,Manu Ginobili,West,11-Mar-07,San Antonio Spurs,SG,6-Jun,205,29,Viola Reggio Calabria (Italy),1999,4
2006-2007,Al Jefferson,East,4-Mar-07,Boston Celtics,FC,10-Jun,289,22,Prentiss High School (Mississippi),2004,2
2006-2007,Kevin Martin,West,4-Mar-07,Sacramento Kings,SG,7-Jun,199,24,Western Carolina,2004,2
2006-2007,Vince Carter,East,25-Feb-07,New Jersey Nets,SF,6-Jun,220,30,North Carolina,1998,8
2006-2007,Amar'e Stoudemire,West,25-Feb-07,Phoenix Suns,FC,10-Jun,245,24,Cypress Creek High School (Florida),2002,4
2006-2007,Dwyane Wade,East,11-Feb-07,Miami Heat,SG,4-Jun,220,25,Marquette,2003,3
2006-2007,Carmelo Anthony,West,11-Feb-07,Denver Nuggets,F,8-Jun,240,22,Syracuse,2003,3
2006-2007,Dwyane Wade,East,4-Feb-07,Miami Heat,SG,4-Jun,220,25,Marquette,2003,3
2006-2007,Mehmet Okur,West,4-Feb-07,Utah Jazz,FC,11-Jun,249,27,Anadolu Efes (Turkey),2001,4
2006-2007,Ben Gordon,East,28-Jan-07,Chicago Bulls,SG,3-Jun,200,23,Connecticut,2004,2
2006-2007,Steve Nash,West,28-Jan-07,Phoenix Suns,G,3-Jun,178,33,Santa Clara,1996,10
2006-2007,Caron Butler,East,21-Jan-07,Washington Wizards,SF,7-Jun,228,26,Connecticut,2002,4
2006-2007,Steve Nash,West,21-Jan-07,Phoenix Suns,G,3-Jun,178,33,Santa Clara,1996,10
2006-2007,Dwyane Wade,East,14-Jan-07,Miami Heat,SG,4-Jun,220,25,Marquette,2003,3
2006-2007,Dirk Nowitzki,West,14-Jan-07,Dallas Mavericks,PF,Jul-00,245,28,DJK Wurzburg (Germany),1998,8
2006-2007,Gilbert Arenas,East,7-Jan-07,Washington Wizards,G,3-Jun,191,25,Arizona,2001,5
2006-2007,Kevin Garnett,West,7-Jan-07,Minnesota Timberwolves,PF,11-Jun,240,30,Farragut Career Academy (Illinois),1995,11
2006-2007,Michael Redd,East,31-Dec-06,Milwaukee Bucks,G,6-Jun,220,27,Ohio State,2000,6
2006-2007,Josh Howard,West,31-Dec-06,Dallas Mavericks,GF,7-Jun,210,26,Wake Forest,2003,3
2006-2007,Mo Williams,East,24-Dec-06,Milwaukee Bucks,G,1-Jun,198,24,Alabama,2003,3
2006-2007,Josh Howard,West,24-Dec-06,Dallas Mavericks,GF,7-Jun,210,26,Wake Forest,2003,3
2006-2007,Gilbert Arenas,East,17-Dec-06,Washington Wizards,G,3-Jun,191,25,Arizona,2001,5
2006-2007,Carlos Boozer,West,17-Dec-06,Utah Jazz,PF,9-Jun,266,25,Duke,2002,4
2006-2007,Gilbert Arenas,East,10-Dec-06,Washington Wizards,G,3-Jun,191,25,Arizona,2001,5
2006-2007,Steve Nash,West,10-Dec-06,Phoenix Suns,G,3-Jun,178,33,Santa Clara,1996,10
2006-2007,Michael Redd,East,3-Dec-06,Milwaukee Bucks,G,6-Jun,220,27,Ohio State,2000,6
2006-2007,Carmelo Anthony,West,3-Dec-06,Denver Nuggets,F,8-Jun,240,22,Syracuse,2003,3
2006-2007,Dwight Howard,East,26-Nov-06,Orlando Magic,C,11-Jun,265,21,Southwest Atlanta Christian Academy (Georgia),2004,2
2006-2007,Carmelo Anthony,West,26-Nov-06,Denver Nuggets,F,8-Jun,240,22,Syracuse,2003,3
2006-2007,LeBron James,East,19-Nov-06,Cleveland Cavaliers,F,8-Jun,250,22,St. Vincent St. Mary High School (Ohio),2003,3
2006-2007,Dirk Nowitzki,West,19-Nov-06,Dallas Mavericks,PF,Jul-00,245,28,DJK Wurzburg (Germany),1998,8
2006-2007,Joe Johnson,East,12-Nov-06,Atlanta Hawks,SG,7-Jun,240,25,Arkansas,2001,5
2006-2007,Yao Ming,West,12-Nov-06,Houston Rockets,C,6-Jul,310,26,Shanghai Dongfang (China),2002,4
2006-2007,Allen Iverson,East,6-Nov-06,Philadelphia Sixers,G,Jun-00,165,31,Georgetown,1996,10
2006-2007,Carlos Boozer,West,6-Nov-06,Utah Jazz,PF,9-Jun,266,25,Duke,2002,4
2005-2006,Ben Gordon,East,16-Apr-06,Chicago Bulls,SG,3-Jun,200,22,Connecticut,2004,1
2005-2006,Kobe Bryant,West,16-Apr-06,Los Angeles Lakers,SG,6-Jun,212,27,Lower Merion High School (Pennsylvania),1996,9
2005-2006,Jamal Crawford,East,9-Apr-06,New York Knicks,SG,5-Jun,195,25,Michigan,2000,5
2005-2006,Chris Wilcox,West,9-Apr-06,Seattle SuperSonics,FC,10-Jun,235,23,Maryland,2002,3
2005-2006,LeBron James,East,2-Apr-06,Cleveland Cavaliers,F,8-Jun,250,21,St. Vincent St. Mary High School (Ohio),2003,2
2005-2006,Yao Ming,West,2-Apr-06,Houston Rockets,C,6-Jul,310,25,Shanghai Dongfang (China),2002,3
2005-2006,LeBron James,East,26-Mar-06,Cleveland Cavaliers,F,8-Jun,250,21,St. Vincent St. Mary High School (Ohio),2003,2
2005-2006,Pau Gasol,West,26-Mar-06,Memphis Grizzlies,FC,Jul-00,250,25,FC Barcelona Lassa (Spain),2001,4
2005-2006,LeBron James,East,19-Mar-06,Cleveland Cavaliers,F,8-Jun,250,21,St. Vincent St. Mary High School (Ohio),2003,2
2005-2006,Carmelo Anthony,West,19-Mar-06,Denver Nuggets,F,8-Jun,240,21,Syracuse,2003,2
2005-2006,Paul Pierce,East,12-Mar-06,Boston Celtics,SF,7-Jun,235,28,Kansas,1998,7
2005-2006,Mike Bibby,West,12-Mar-06,Sacramento Kings,G,2-Jun,195,27,Arizona,1998,7
2005-2006,Allen Iverson,East,5-Mar-06,Philadelphia Sixers,G,Jun-00,165,30,Georgetown,1996,9
2005-2006,Pau Gasol,West,5-Mar-06,Memphis Grizzlies,FC,Jul-00,250,25,FC Barcelona Lassa (Spain),2001,4
2005-2006,Gilbert Arenas,East,27-Feb-06,Washington Wizards,G,3-Jun,191,24,Arizona,2001,4
2005-2006,Yao Ming,West,27-Feb-06,Houston Rockets,C,6-Jul,310,25,Shanghai Dongfang (China),2002,3
2005-2006,Gilbert Arenas,East,13-Feb-06,Washington Wizards,G,3-Jun,191,24,Arizona,2001,4
2005-2006,Tony Parker,West,13-Feb-06,San Antonio Spurs,G,2-Jun,185,23,Paris Basket Racing (France),2001,4
2005-2006,Chris Bosh,East,6-Feb-06,Toronto Raptors,PF,11-Jun,235,21,Georgia Tech,2003,2
2005-2006,Chris Paul,West,6-Feb-06,New Orleans Hornets,PG,Jun-00,175,20,Wake Forest,2005,0
2005-2006,LeBron James,East,30-Jan-06,Cleveland Cavaliers,F,8-Jun,250,21,St. Vincent St. Mary High School (Ohio),2003,2
2005-2006,Elton Brand,West,30-Jan-06,Los Angeles Clippers,PF,9-Jun,254,26,Duke,1999,6
2005-2006,Richard Hamilton,East,22-Jan-06,Detroit Pistons,SG,7-Jun,193,28,Connecticut,1999,6
2005-2006,Kobe Bryant,West,22-Jan-06,Los Angeles Lakers,SG,6-Jun,212,27,Lower Merion High School (Pennsylvania),1996,9
2005-2006,Allen Iverson,East,15-Jan-06,Philadelphia Sixers,G,Jun-00,165,30,Georgetown,1996,9
2005-2006,Kevin Garnett,West,15-Jan-06,Minnesota Timberwolves,PF,11-Jun,240,29,Farragut Career Academy (Illinois),1995,10
2005-2006,Mike James,East,8-Jan-06,Toronto Raptors,G,2-Jun,188,30,Duquesne,1998,4
2005-2006,Steve Nash,West,8-Jan-06,Phoenix Suns,G,3-Jun,178,32,Santa Clara,1996,9
2005-2006,Dwyane Wade,East,1-Jan-06,Miami Heat,SG,4-Jun,220,24,Marquette,2003,2
2005-2006,Shawn Marion,West,1-Jan-06,Phoenix Suns,F,7-Jun,228,27,UNLV,1999,6
2005-2006,Vince Carter,East,26-Dec-05,New Jersey Nets,SF,6-Jun,220,29,North Carolina,1998,7
2005-2006,Kobe Bryant,West,26-Dec-05,Los Angeles Lakers,SG,6-Jun,212,27,Lower Merion High School (Pennsylvania),1996,9
2005-2006,Joe Johnson,East,19-Dec-05,Atlanta Hawks,SG,7-Jun,240,24,Arkansas,2001,4
2005-2006,Kobe Bryant,West,19-Dec-05,Los Angeles Lakers,SG,6-Jun,212,27,Lower Merion High School (Pennsylvania),1996,9
2005-2006,Allen Iverson,East,12-Dec-05,Philadelphia Sixers,G,Jun-00,165,30,Georgetown,1996,9
2005-2006,Elton Brand,West,12-Dec-05,Los Angeles Clippers,PF,9-Jun,254,26,Duke,1999,6
2005-2006,Dwyane Wade,East,5-Dec-05,Miami Heat,SG,4-Jun,220,24,Marquette,2003,2
2005-2006,Baron Davis,West,5-Dec-05,Golden State Warriors,G,3-Jun,215,26,UCLA,1999,6
2005-2006,Gerald Wallace,East,28-Nov-05,Charlotte Bobcats,F,7-Jun,220,23,Alabama,2001,4
2005-2006,Steve Nash,West,28-Nov-05,Phoenix Suns,G,3-Jun,178,32,Santa Clara,1996,9
2005-2006,LeBron James,East,21-Nov-05,Cleveland Cavaliers,F,8-Jun,250,21,St. Vincent St. Mary High School (Ohio),2003,2
2005-2006,Elton Brand,West,21-Nov-05,Los Angeles Clippers,PF,9-Jun,254,26,Duke,1999,6
2005-2006,Gilbert Arenas,East,14-Nov-05,Washington Wizards,G,3-Jun,191,24,Arizona,2001,4
2005-2006,Marcus Camby,West,14-Nov-05,Denver Nuggets,C,11-Jun,240,31,Massachusetts,1996,9
2005-2006,T.J. Ford,East,7-Nov-05,Milwaukee Bucks,PG,Jun-00,165,22,Texas,2003,2
2005-2006,Kobe Bryant,West,7-Nov-05,Los Angeles Lakers,SG,6-Jun,212,27,Lower Merion High School (Pennsylvania),1996,9
2004-2005,Jason Kidd,East,17-Apr-05,New Jersey Nets,PG,4-Jun,210,31,California,1994,10
2004-2005,Tracy McGrady,West,17-Apr-05,Houston Rockets,GF,8-Jun,210,25,Mt. Zion Christian Academy (North Carolina),1997,7
2004-2005,Vince Carter,East,10-Apr-05,New Jersey Nets,SF,6-Jun,220,28,North Carolina,1998,6
2004-2005,Baron Davis,West,10-Apr-05,Golden State Warriors,G,3-Jun,215,25,UCLA,1999,5
2004-2005,Reggie Miller,East,3-Apr-05,Indiana Pacers,SG,7-Jun,185,39,UCLA,1987,17
2004-2005,Baron Davis,West,3-Apr-05,Golden State Warriors,G,3-Jun,215,25,UCLA,1999,5
2004-2005,Allen Iverson,East,27-Mar-05,Philadelphia Sixers,G,Jun-00,165,29,Georgetown,1996,8
2004-2005,Ray Allen,West,27-Mar-05,Seattle SuperSonics,SG,5-Jun,205,29,Connecticut,1996,8
2004-2005,Chauncey Billups,East,20-Mar-05,Detroit Pistons,G,3-Jun,210,28,Colorado,1997,7
2004-2005,Jason Richardson,West,20-Mar-05,Golden State Warriors,GF,6-Jun,225,24,Michigan State,2001,3
2004-2005,Paul Pierce,East,13-Mar-05,Boston Celtics,SF,7-Jun,235,27,Kansas,1998,6
2004-2005,Tracy McGrady,West,13-Mar-05,Houston Rockets,GF,8-Jun,210,25,Mt. Zion Christian Academy (North Carolina),1997,7
2004-2005,Allen Iverson,East,6-Mar-05,Philadelphia Sixers,G,Jun-00,165,29,Georgetown,1996,8
2004-2005,Marcus Camby,West,6-Mar-05,Denver Nuggets,C,11-Jun,240,30,Massachusetts,1996,8
2004-2005,Jalen Rose,East,27-Feb-05,Toronto Raptors,G,8-Jun,210,32,Michigan,1994,10
2004-2005,Mike Bibby,West,27-Feb-05,Sacramento Kings,G,2-Jun,195,26,Arizona,1998,6
2004-2005,Allen Iverson,East,13-Feb-05,Philadelphia Sixers,G,Jun-00,165,29,Georgetown,1996,8
2004-2005,Steve Nash,West,13-Feb-05,Phoenix Suns,G,3-Jun,178,31,Santa Clara,1996,8
2004-2005,Paul Pierce,East,6-Feb-05,Boston Celtics,SF,7-Jun,235,27,Kansas,1998,6
2004-2005,Tracy McGrady,West,6-Feb-05,Houston Rockets,GF,8-Jun,210,25,Mt. Zion Christian Academy (North Carolina),1997,7
2004-2005,Vince Carter,East,30-Jan-05,New Jersey Nets,SF,6-Jun,220,28,North Carolina,1998,6
2004-2005,Brad Miller,West,30-Jan-05,Sacramento Kings,C,Jul-00,261,28,Purdue,1998,6
2004-2005,LeBron James,East,23-Jan-05,Cleveland Cavaliers,F,8-Jun,250,20,St. Vincent St. Mary High School (Ohio),2003,1
2004-2005,Jason Terry,West,23-Jan-05,Dallas Mavericks,G,2-Jun,185,27,Arizona,1999,5
2004-2005,Larry Hughes,East,16-Jan-05,Washington Wizards,G,5-Jun,184,26,Saint Louis,1998,6
2004-2005,Tracy McGrady,West,16-Jan-05,Houston Rockets,GF,8-Jun,210,25,Mt. Zion Christian Academy (North Carolina),1997,7
2004-2005,Chris Bosh,East,9-Jan-05,Toronto Raptors,PF,11-Jun,235,20,Georgia Tech,2003,1
2004-2005,Bruce Bowen,West,9-Jan-05,San Antonio Spurs,F,7-Jun,200,33,Cal State Fullerton,1993,9
2004-2005,Stephon Marbury,East,2-Jan-05,New York Knicks,G,2-Jun,180,28,Georgia Tech,1996,8
2004-2005,Pau Gasol,West,2-Jan-05,Memphis Grizzlies,FC,Jul-00,250,24,FC Barcelona Lassa (Spain),2001,3
2004-2005,Allen Iverson,East,26-Dec-04,Philadelphia Sixers,G,Jun-00,165,29,Georgetown,1996,8
2004-2005,Steve Nash,West,26-Dec-04,Phoenix Suns,G,3-Jun,178,31,Santa Clara,1996,8
2004-2005,Shaquille O'Neal,East,19-Dec-04,Miami Heat,C,1-Jul,325,32,LSU,1992,12
2004-2005,Shawn Marion,West,19-Dec-04,Phoenix Suns,F,7-Jun,228,26,UNLV,1999,5
2004-2005,Richard Jefferson,East,12-Dec-04,New Jersey Nets,SF,7-Jun,233,24,Arizona,2001,3
2004-2005,Amar'e Stoudemire,West,12-Dec-04,Phoenix Suns,FC,10-Jun,245,22,Cypress Creek High School (Florida),2002,2
2004-2005,Gilbert Arenas,East,5-Dec-04,Washington Wizards,G,3-Jun,191,23,Arizona,2001,3
2004-2005,Dirk Nowitzki,West,5-Dec-04,Dallas Mavericks,PF,Jul-00,245,26,DJK Wurzburg (Germany),1998,6
2004-2005,LeBron James,East,28-Nov-04,Cleveland Cavaliers,F,8-Jun,250,20,St. Vincent St. Mary High School (Ohio),2003,1
2004-2005,Shawn Marion,West,28-Nov-04,Phoenix Suns,F,7-Jun,228,26,UNLV,1999,5
2004-2005,Grant Hill,East,21-Nov-04,Orlando Magic,SF,8-Jun,225,32,Duke,1994,10
2004-2005,Amar'e Stoudemire,West,21-Nov-04,Phoenix Suns,FC,10-Jun,245,22,Cypress Creek High School (Florida),2002,2
2004-2005,LeBron James,East,14-Nov-04,Cleveland Cavaliers,F,8-Jun,250,20,St. Vincent St. Mary High School (Ohio),2003,1
2004-2005,Ray Allen,West,14-Nov-04,Seattle SuperSonics,SG,5-Jun,205,29,Connecticut,1996,8
2004-2005,Dwyane Wade,East,7-Nov-04,Miami Heat,SG,4-Jun,220,23,Marquette,2003,1
2004-2005,Kevin Garnett,West,7-Nov-04,Minnesota Timberwolves,PF,11-Jun,240,28,Farragut Career Academy (Illinois),1995,9
2003-2004,Jamaal Magloire,East,12-Apr-04,New Orleans Hornets,C,11-Jun,259,25,Kentucky,2000,3
2003-2004,Carmelo Anthony,West,12-Apr-04,Denver Nuggets,F,8-Jun,240,19,Syracuse,2003,0
2003-2004,Richard Jefferson,East,5-Apr-04,New Jersey Nets,SF,7-Jun,233,23,Arizona,2001,2
2003-2004,Dirk Nowitzki,West,5-Apr-04,Dallas Mavericks,PF,Jul-00,245,25,DJK Wurzburg (Germany),1998,5
2003-2004,Metta World Peace,East,29-Mar-04,Indiana Pacers,SF,7-Jun,260,24,St. John's,1999,4
2003-2004,Kobe Bryant,West,29-Mar-04,Los Angeles Lakers,SG,6-Jun,212,25,Lower Merion High School (Pennsylvania),1996,7
2003-2004,Vince Carter,East,21-Mar-04,Toronto Raptors,SF,6-Jun,220,27,North Carolina,1998,5
2003-2004,Shaquille O'Neal,West,21-Mar-04,Los Angeles Lakers,C,1-Jul,325,31,LSU,1992,11
2003-2004,Zydrunas Ilgauskas,East,14-Mar-04,Cleveland Cavaliers,C,3-Jul,260,28,BC Aisciai-Atletas (Lithuania),1996,7
2003-2004,Carmelo Anthony,West,14-Mar-04,Denver Nuggets,F,8-Jun,240,19,Syracuse,2003,0
2003-2004,Lamar Odom,East,7-Mar-04,Miami Heat,PF,10-Jun,230,24,Rhode Island,1999,4
2003-2004,Yao Ming,West,7-Mar-04,Houston Rockets,C,6-Jul,310,23,Shanghai Dongfang (China),2002,1
2003-2004,Ben Wallace,East,29-Feb-04,Detroit Pistons,FC,9-Jun,240,29,Virginia Union,1996,7
2003-2004,Andrei Kirilenko,West,29-Feb-04,Utah Jazz,PF,9-Jun,235,23,CSKA Moscow (Russia),1999,2
2003-2004,Dwyane Wade,East,22-Feb-04,Miami Heat,SG,4-Jun,220,22,Marquette,2003,0
2003-2004,Kobe Bryant,West,22-Feb-04,Los Angeles Lakers,SG,6-Jun,212,25,Lower Merion High School (Pennsylvania),1996,7
2003-2004,Kenyon Martin,East,8-Feb-04,New Jersey Nets,F,9-Jun,240,26,Cincinnati,2000,3
2003-2004,Tim Duncan,West,8-Feb-04,San Antonio Spurs,FC,11-Jun,250,27,Wake Forest,1997,6
2003-2004,Jason Kidd,East,1-Feb-04,New Jersey Nets,PG,4-Jun,210,30,California,1994,9
2003-2004,Kevin Garnett,West,1-Feb-04,Minnesota Timberwolves,PF,11-Jun,240,27,Farragut Career Academy (Illinois),1995,8
2003-2004,Carlos Boozer,East,25-Jan-04,Cleveland Cavaliers,PF,9-Jun,266,22,Duke,2002,1
2003-2004,Kevin Garnett,West,25-Jan-04,Minnesota Timberwolves,PF,11-Jun,240,27,Farragut Career Academy (Illinois),1995,8
2003-2004,Stephon Marbury,East,18-Jan-04,New York Knicks,G,2-Jun,180,27,Georgia Tech,1996,7
2003-2004,Michael Finley,West,18-Jan-04,Dallas Mavericks,G-F,7-Jun,225,30,Wisconsin,1995,8
2003-2004,Paul Pierce,East,11-Jan-04,Boston Celtics,SF,7-Jun,235,26,Kansas,1998,5
2003-2004,Ray Allen,West,11-Jan-04,Seattle SuperSonics,SG,5-Jun,205,28,Connecticut,1996,7
2003-2004,Ben Wallace,East,4-Jan-04,Detroit Pistons,FC,9-Jun,240,29,Virginia Union,1996,7
2003-2004,Elton Brand,West,4-Jan-04,Los Angeles Clippers,PF,9-Jun,254,24,Duke,1999,4
2003-2004,Jason Kidd,East,28-Dec-03,New Jersey Nets,PG,4-Jun,210,30,California,1994,9
2003-2004,Sam Cassell,West,28-Dec-03,Minnesota Timberwolves,G,3-Jun,185,34,Florida State,1993,10
2003-2004,Tracy McGrady,East,21-Dec-03,Orlando Magic,GF,8-Jun,210,24,Mt. Zion Christian Academy (North Carolina),1997,6
2003-2004,Kevin Garnett,West,21-Dec-03,Minnesota Timberwolves,PF,11-Jun,240,27,Farragut Career Academy (Illinois),1995,8
2003-2004,Paul Pierce,East,14-Dec-03,Boston Celtics,SF,7-Jun,235,26,Kansas,1998,5
2003-2004,Peja Stojakovic,West,14-Dec-03,Sacramento Kings,F,10-Jun,229,26,PAOK BC (Greece),1996,5
2003-2004,Vince Carter,East,7-Dec-03,Toronto Raptors,SF,6-Jun,220,27,North Carolina,1998,5
2003-2004,Shaquille O'Neal,West,7-Dec-03,Los Angeles Lakers,C,1-Jul,325,31,LSU,1992,11
2003-2004,Dikembe Mutombo,East,30-Nov-03,New York Knicks,C,2-Jul,260,37,Georgetown,1991,12
2003-2004,Voshon Lenard,West,30-Nov-03,Denver Nuggets,SG,4-Jun,205,30,Minnesota,1994,8
2003-2004,Chauncey Billups,East,23-Nov-03,Detroit Pistons,G,3-Jun,210,27,Colorado,1997,6
2003-2004,Kevin Garnett,West,23-Nov-03,Minnesota Timberwolves,PF,11-Jun,240,27,Farragut Career Academy (Illinois),1995,8
2003-2004,Allen Iverson,East,16-Nov-03,Philadelphia Sixers,G,Jun-00,165,28,Georgetown,1996,7
2003-2004,Quentin Richardson,West,16-Nov-03,Los Angeles Clippers,GF,6-Jun,223,23,DePaul,2000,3
2003-2004,Metta World Peace,East,9-Nov-03,Indiana Pacers,SF,7-Jun,260,24,St. John's,1999,4
2003-2004,Andrei Kirilenko,West,9-Nov-03,Utah Jazz,PF,9-Jun,235,23,CSKA Moscow (Russia),1999,2
