Season,Player Name,Conference,Date,Team,Pos,Height,Weight,Age,PreDraftTeam,DraftYear,YOS
2016-2017,Karl-Anthony Towns,West,13-Mar-17,Minnesota Timberwolves,C,Jul-00,244,21,Kentucky,2015,1
2016-2017,Kemba Walker,East,6-Mar-17,Charlotte Hornets,G,1-Jun,184,26,Connecticut,2011,5
2016-2017,Kawhi Leonard,West,6-Mar-17,San Antonio Spurs,F,7-Jun,230,25,San Diego State,2011,5
2016-2017,LeBron James,East,13-Feb-17,Cleveland Cavaliers,F,8-Jun,250,32,St. Vincent St. Mary High School (Ohio),2003,13
2016-2017,Blake Griffin,West,13-Feb-17,Los Angeles Clippers,PF,10-Jun,250,27,Oklahoma,2009,7
2016-2017,Isaiah Thomas,East,6-Feb-17,Boston Celtics,PG,9-May,185,28,Washington,2011,5
2016-2017,Stephen Curry,West,6-Feb-17,Golden State Warriors,G,3-Jun,190,28,Davidson,2009,7
2016-2017,Dion Waiters,East,30-Jan-17,Miami Heat,SG,4-Jun,215,25,Syracuse,2012,4
2016-2017,DeMarcus Cousins,West,30-Jan-17,Sacramento Kings,C,11-Jun,270,26,Kentucky,2010,6
2016-2017,Joel Embiid,East,23-Jan-17,Philadelphia Sixers,C,Jul-00,260,22,Kansas,2014,2
2016-2017,Kawhi Leonard,West,23-Jan-17,San Antonio Spurs,F,7-Jun,230,25,San Diego State,2011,5
2016-2017,DeMar DeRozan,East,16-Jan-17,Toronto Raptors,GF,7-Jun,220,27,USC,2009,7
2016-2017,Gordon Hayward,West,16-Jan-17,Utah Jazz,GF,8-Jun,225,26,Butler,2010,6
2016-2017,Jimmy Butler,East,9-Jan-17,Chicago Bulls,GF,8-Jun,236,27,Marquette,2011,5
2016-2017,Stephen Curry,West,9-Jan-17,Golden State Warriors,G,3-Jun,190,28,Davidson,2009,7
2016-2017,John Wall,East,2-Jan-17,Washington Wizards,PG,4-Jun,210,26,Kentucky,2010,6
2016-2017,James Harden,West,2-Jan-17,Houston Rockets,SG,5-Jun,220,27,Arizona State,2009,7
2016-2017,Isaiah Thomas,East,26-Dec-16,Boston Celtics,PG,9-May,185,28,Washington,2011,5
2016-2017,Russell Westbrook,West,26-Dec-16,Oklahoma City Thunder,G,3-Jun,200,28,UCLA,2008,8
2016-2017,DeMar DeRozan,East,19-Dec-16,Toronto Raptors,GF,7-Jun,220,27,USC,2009,7
2016-2017,James Harden,West,19-Dec-16,Houston Rockets,SG,5-Jun,220,27,Arizona State,2009,7
2016-2017,LeBron James,East,12-Dec-16,Cleveland Cavaliers,F,8-Jun,250,32,St. Vincent St. Mary High School (Ohio),2003,13
2016-2017,Marc Gasol,West,12-Dec-16,Memphis Grizzlies,C,1-Jul,255,32,Sant Josep Girona (Spain),2007,8
2016-2017,Giannis Antetokounmpo,East,5-Dec-16,Milwaukee Bucks,F,11-Jun,242,22,Filathlitikos Div II Greece (Greece),2013,3
2016-2017,Russell Westbrook,West,5-Dec-16,Oklahoma City Thunder,G,3-Jun,200,28,UCLA,2008,8
2016-2017,Kevin Love,East,28-Nov-16,Cleveland Cavaliers,FC,10-Jun,251,28,UCLA,2008,8
2016-2017,Kevin Durant,West,28-Nov-16,Golden State Warriors,SF,9-Jun,240,28,Texas,2007,9
2016-2017,Jimmy Butler,East,21-Nov-16,Chicago Bulls,GF,8-Jun,236,27,Marquette,2011,5
2016-2017,Anthony Davis,West,21-Nov-16,New Orleans Pelicans,PF,10-Jun,253,23,Kentucky,2012,4
2016-2017,DeMar DeRozan,East,14-Nov-16,Toronto Raptors,GF,7-Jun,220,27,USC,2009,7
2016-2017,James Harden,West,14-Nov-16,Houston Rockets,SG,5-Jun,220,27,Arizona State,2009,7
2016-2017,LeBron James,East,7-Nov-16,Cleveland Cavaliers,F,8-Jun,250,32,St. Vincent St. Mary High School (Ohio),2003,13
2016-2017,George Hill,West,7-Nov-16,Utah Jazz,G,3-Jun,188,30,IUPUI,2008,8
2016-2017,LeBron James,East,31-Oct-16,Cleveland Cavaliers,F,8-Jun,250,32,St. Vincent St. Mary High School (Ohio),2003,13
2016-2017,Russell Westbrook,West,31-Oct-16,Oklahoma City Thunder,G,3-Jun,200,28,UCLA,2008,8
2015-2016,Paul Millsap,East,11-Apr-16,Atlanta Hawks,FC,8-Jun,246,31,Louisiana Tech,2006,9
2015-2016,Karl-Anthony Towns,West,11-Apr-16,Minnesota Timberwolves,C,Jul-00,244,20,Kentucky,2015,0
2015-2016,LeBron James,East,4-Apr-16,Cleveland Cavaliers,F,8-Jun,250,31,St. Vincent St. Mary High School (Ohio),2003,12
2015-2016,J.J. Barea,West,4-Apr-16,Dallas Mavericks,G,Jun-00,185,31,Northeastern,2006,9
2015-2016,LeBron James,East,28-Mar-16,Cleveland Cavaliers,F,8-Jun,250,31,St. Vincent St. Mary High School (Ohio),2003,12
2015-2016,Klay Thompson,West,28-Mar-16,Golden State Warriors,G,7-Jun,215,26,Washington State,2011,4
2015-2016,Kyle Lowry,East,21-Mar-16,Toronto Raptors,PG,1-Jun,196,29,Villanova,2006,9
2015-2016,Kevin Durant,West,21-Mar-16,Oklahoma City Thunder,SF,9-Jun,240,27,Texas,2007,8
2015-2016,Kemba Walker,East,14-Mar-16,Charlotte Hornets,G,1-Jun,184,25,Connecticut,2011,4
2015-2016,Stephen Curry,West,14-Mar-16,Golden State Warriors,G,3-Jun,190,27,Davidson,2009,6
2015-2016,LeBron James,East,7-Mar-16,Cleveland Cavaliers,F,8-Jun,250,31,St. Vincent St. Mary High School (Ohio),2003,12
2015-2016,Kawhi Leonard,West,7-Mar-16,San Antonio Spurs,F,7-Jun,230,24,San Diego State,2011,4
2015-2016,Kyle Lowry,East,29-Feb-16,Toronto Raptors,PG,1-Jun,196,29,Villanova,2006,9
2015-2016,Stephen Curry,West,29-Feb-16,Golden State Warriors,G,3-Jun,190,27,Davidson,2009,6
2015-2016,Isaiah Thomas,East,8-Feb-16,Boston Celtics,PG,9-May,185,27,Washington,2011,4
2015-2016,LaMarcus Aldridge,West,8-Feb-16,San Antonio Spurs,FC,11-Jun,260,30,Texas,2006,9
2015-2016,Dwyane Wade,East,1-Feb-16,Miami Heat,SG,4-Jun,220,34,Marquette,2003,12
2015-2016,Kevin Durant,West,1-Feb-16,Oklahoma City Thunder,SF,9-Jun,240,27,Texas,2007,8
2015-2016,Kemba Walker,East,25-Jan-16,Charlotte Hornets,G,1-Jun,184,25,Connecticut,2011,4
2015-2016,DeMarcus Cousins,West,25-Jan-16,Sacramento Kings,C,11-Jun,270,25,Kentucky,2010,5
2015-2016,John Wall,East,18-Jan-16,Washington Wizards,PG,4-Jun,210,25,Kentucky,2010,5
2015-2016,Kevin Durant,West,18-Jan-16,Oklahoma City Thunder,SF,9-Jun,240,27,Texas,2007,8
2015-2016,LeBron James,East,11-Jan-16,Cleveland Cavaliers,F,8-Jun,250,31,St. Vincent St. Mary High School (Ohio),2003,12
2015-2016,Chris Paul,West,11-Jan-16,Los Angeles Clippers,PG,Jun-00,175,30,Wake Forest,2005,10
2015-2016,Brook Lopez,East,4-Jan-16,Brooklyn Nets,C,Jul-00,270,27,Stanford,2008,7
2015-2016,Draymond Green,West,4-Jan-16,Golden State Warriors,F,7-Jun,230,25,Michigan State,2012,3
2015-2016,Marcin Gortat,East,28-Dec-15,Washington Wizards,FC,11-Jun,240,32,Koln 99ers (Germany),2005,8
2015-2016,Russell Westbrook,West,28-Dec-15,Oklahoma City Thunder,G,3-Jun,200,27,UCLA,2008,7
2015-2016,Reggie Jackson,East,21-Dec-15,Detroit Pistons,G,3-Jun,208,25,Boston College,2011,4
2015-2016,Kawhi Leonard,West,21-Dec-15,San Antonio Spurs,F,7-Jun,230,24,San Diego State,2011,4
2015-2016,DeMar DeRozan,East,14-Dec-15,Toronto Raptors,GF,7-Jun,220,26,USC,2009,6
2015-2016,Kevin Durant,West,14-Dec-15,Oklahoma City Thunder,SF,9-Jun,240,27,Texas,2007,8
2015-2016,Reggie Jackson,East,7-Dec-15,Detroit Pistons,G,3-Jun,208,25,Boston College,2011,4
2015-2016,Stephen Curry,West,7-Dec-15,Golden State Warriors,G,3-Jun,190,27,Davidson,2009,6
2015-2016,Paul George,East,30-Nov-15,Indiana Pacers,GF,9-Jun,220,25,Fresno State,2010,5
2015-2016,Kevin Durant,West,30-Nov-15,Oklahoma City Thunder,SF,9-Jun,240,27,Texas,2007,8
2015-2016,LeBron James,East,23-Nov-15,Cleveland Cavaliers,F,8-Jun,250,31,St. Vincent St. Mary High School (Ohio),2003,12
2015-2016,Stephen Curry,West,23-Nov-15,Golden State Warriors,G,3-Jun,190,27,Davidson,2009,6
2015-2016,Nicolas Batum,East,16-Nov-15,Charlotte Hornets,F,8-Jun,200,27,Le Mans Sarthe Basket (France),2008,7
2015-2016,DeMarcus Cousins,West,16-Nov-15,Sacramento Kings,C,11-Jun,270,25,Kentucky,2010,5
2015-2016,Andre Drummond,East,9-Nov-15,Detroit Pistons,C,11-Jun,279,22,Connecticut,2012,3
2015-2016,James Harden,West,9-Nov-15,Houston Rockets,SG,5-Jun,220,26,Arizona State,2009,6
2015-2016,Andre Drummond,East,2-Nov-15,Detroit Pistons,C,11-Jun,279,22,Connecticut,2012,3
2015-2016,Stephen Curry,West,2-Nov-15,Golden State Warriors,G,3-Jun,190,27,Davidson,2009,6
2014-2015,Isaiah Thomas,East,13-Apr-15,Boston Celtics,PG,9-May,185,26,Washington,2011,3
2014-2015,Tim Duncan,West,13-Apr-15,San Antonio Spurs,FC,11-Jun,250,38,Wake Forest,1997,17
2014-2015,Brook Lopez,East,6-Apr-15,Brooklyn Nets,C,Jul-00,270,26,Stanford,2008,6
2014-2015,James Harden,West,6-Apr-15,Houston Rockets,SG,5-Jun,220,25,Arizona State,2009,5
2014-2015,Brook Lopez,East,30-Mar-15,Brooklyn Nets,C,Jul-00,270,26,Stanford,2008,6
2014-2015,Stephen Curry,West,30-Mar-15,Golden State Warriors,G,3-Jun,190,26,Davidson,2009,5
2014-2015,Dwyane Wade,East,23-Mar-15,Miami Heat,SG,4-Jun,220,33,Marquette,2003,11
2014-2015,Chris Paul,West,23-Mar-15,Los Angeles Clippers,PG,Jun-00,175,29,Wake Forest,2005,9
2014-2015,Kyrie Irving,East,16-Mar-15,Cleveland Cavaliers,G,3-Jun,193,22,Duke,2011,3
2014-2015,Anthony Davis,West,16-Mar-15,New Orleans Pelicans,PF,10-Jun,253,21,Kentucky,2012,2
2014-2015,Mo Williams,East,9-Mar-15,Charlotte Hornets,G,1-Jun,198,32,Alabama,2003,11
2014-2015,Russell Westbrook,West,9-Mar-15,Oklahoma City Thunder,G,3-Jun,200,26,UCLA,2008,6
2014-2015,Isaiah Thomas,East,2-Mar-15,Boston Celtics,PG,9-May,185,26,Washington,2011,3
2014-2015,Damian Lillard,West,2-Mar-15,Portland Trail Blazers,G,3-Jun,195,24,Weber State,2012,2
2014-2015,Giannis Antetokounmpo,East,9-Feb-15,Milwaukee Bucks,F,11-Jun,242,20,Filathlitikos Div II Greece (Greece),2013,1
